,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend
350,INFY,EQ,2018-10-10,717.75,719.9,719.9,695.4,700.35,700.45,703.19,8866251,6234700032.75,219744,4098711,46.23,2018,10,-2.4103099965168906,Negative
351,INFY,EQ,2018-10-11,700.45,685.0,692.9,663.3,675.4,673.35,676.06,10985897,7427150380.05,285534,5910635,53.8,2018,10,-3.8689413948176155,Among top losers
352,INFY,EQ,2018-10-12,673.35,676.4,684.05,661.5,678.15,678.8,673.71,8909221,6002268066.8,214848,4229073,47.47,2018,10,0.8093859062894282,Slight positive
353,INFY,EQ,2018-10-15,678.8,688.6,705.0,681.5,703.5,698.8,691.39,6222176,4301952210.65,121763,3187712,51.23,2018,10,2.9463759575721893,Positive
354,INFY,EQ,2018-10-16,698.8,710.0,713.9,689.4,692.0,695.25,702.32,11588963,8139197320.7,266266,4829861,41.68,2018,10,-0.5080137378362881,Slight negative
355,INFY,EQ,2018-10-17,695.25,710.0,721.8,701.35,705.5,705.35,711.55,20360697,14487628785.05,280701,8842531,43.43,2018,10,1.4527148507730958,Positive
356,INFY,EQ,2018-10-19,705.35,687.0,687.7,678.0,683.5,683.55,682.35,10421001,7110757250.65,245258,6658247,63.89,2018,10,-3.0906642092578207,Among top losers
357,INFY,EQ,2018-10-22,683.55,688.7,695.05,673.8,680.5,679.95,679.08,6672840,4531381462.3,118989,4592757,68.83,2018,10,-0.5266622778143382,Slight negative
358,INFY,EQ,2018-10-23,679.95,675.95,682.0,653.3,663.05,657.6,663.77,9041701,6001591447.55,206699,6249984,69.12,2018,10,-3.287006397529235,Among top losers
359,INFY,EQ,2018-10-24,657.6,663.0,666.5,647.15,650.0,649.8,653.45,7058164,4612127164.25,151398,4319821,61.2,2018,10,-1.1861313868613221,Negative
360,INFY,EQ,2018-10-25,649.8,643.0,656.35,636.25,647.3,648.75,647.53,8270469,5355339309.35,196622,5315499,64.27,2018,10,-0.1615881809787556,Slight or No change
361,INFY,EQ,2018-10-26,648.75,645.3,648.7,629.9,634.05,633.6,636.49,5464141,3477864472.15,111447,3187130,58.33,2018,10,-2.3352601156069297,Negative
362,INFY,EQ,2018-10-29,633.6,633.7,650.55,631.5,646.1,644.75,637.82,7137446,4552389117.6,123494,5228816,73.26,2018,10,1.7597853535353591,Positive
363,INFY,EQ,2018-10-30,644.75,641.1,663.8,637.45,658.9,659.6,657.39,8793411,5780678040.35,148842,5764870,65.56,2018,10,2.303218301667309,Positive
364,INFY,EQ,2018-10-31,659.6,663.9,692.95,663.05,685.95,686.4,681.52,11947995,8142844240.2,223319,7659197,64.1,2018,10,4.06306852637961,Among top gainers
365,INFY,EQ,2018-11-01,686.4,689.7,689.7,659.6,667.0,666.7,671.01,5860244,3932276784.2,125725,3282959,56.02,2018,11,-2.870046620046607,Negative
366,INFY,EQ,2018-11-02,666.7,665.95,675.8,660.1,663.2,662.25,665.4,6654067,4427642405.45,148487,3761960,56.54,2018,11,-0.667466626668678,Slight negative
367,INFY,EQ,2018-11-05,662.25,663.5,668.6,657.0,663.7,666.0,662.36,5799426,3841307500.55,140183,3670964,63.3,2018,11,0.5662514156285381,Slight positive
368,INFY,EQ,2018-11-06,666.0,667.9,675.0,660.65,667.1,666.45,668.4,6975525,4662445093.8,240509,4371014,62.66,2018,11,0.06756756756758353,Slight or No change
369,INFY,EQ,2018-11-07,666.45,673.0,677.5,672.0,677.45,675.5,674.86,758956,512188500.7,31522,307741,40.55,2018,11,1.3579413309325439,Positive
370,INFY,EQ,2018-11-09,675.5,679.0,679.0,655.5,658.7,659.5,661.4,9694143,6411724146.3,244092,7091290,73.15,2018,11,-2.3686158401184265,Negative
371,INFY,EQ,2018-11-12,659.5,666.0,676.4,662.3,665.05,664.2,669.82,7118080,4767832301.9,120785,3845132,54.02,2018,11,0.7126611068991817,Slight positive
372,INFY,EQ,2018-11-13,664.2,663.5,667.75,656.3,664.45,665.7,663.83,4137808,2746782460.75,129103,2641999,63.85,2018,11,0.2258355916892496,Slight or No change
373,INFY,EQ,2018-11-14,665.7,665.7,665.7,640.5,652.4,653.2,648.72,7323026,4750599516.35,174358,4361316,59.56,2018,11,-1.8777226979119765,Negative
374,INFY,EQ,2018-11-15,653.2,654.0,666.0,646.7,655.65,656.4,660.71,5513390,3642738196.2,130605,3270275,59.32,2018,11,0.48989589712185033,Slight or No change
375,INFY,EQ,2018-11-16,656.4,659.9,662.5,644.2,652.0,650.85,649.95,8583785,5579053175.15,153414,5561153,64.79,2018,11,-0.8455210237659938,Slight negative
376,INFY,EQ,2018-11-19,650.85,659.0,662.0,649.25,651.95,651.7,652.75,6018930,3928880482.15,96075,4076816,67.73,2018,11,0.13059844818315014,Slight or No change
377,INFY,EQ,2018-11-20,651.7,651.7,656.0,640.1,640.6,641.4,645.31,5384830,3474899740.35,105300,3188270,59.21,2018,11,-1.5804818167868717,Negative
378,INFY,EQ,2018-11-21,641.4,640.0,640.05,612.1,619.5,619.1,618.73,14359086,8884401044.4,306110,7301207,50.85,2018,11,-3.4767695665731124,Among top losers
379,INFY,EQ,2018-11-22,619.1,622.25,628.15,616.75,620.85,620.75,623.11,6632975,4133099492.0,120189,3211872,48.42,2018,11,0.2665159101921999,Slight or No change
380,INFY,EQ,2018-11-26,620.75,621.0,628.0,599.85,621.2,621.45,613.78,15075209,9252894700.6,263089,8758922,58.1,2018,11,0.11276681433749491,Slight or No change
381,INFY,EQ,2018-11-27,621.45,625.5,641.0,625.3,641.0,638.9,634.88,12285851,7800040730.95,200385,7331501,59.67,2018,11,2.807949151178679,Positive
382,INFY,EQ,2018-11-28,638.9,640.95,668.7,640.0,664.5,666.4,659.36,17719890,11683706177.25,310146,10672554,60.23,2018,11,4.304272969165757,Among top gainers
383,INFY,EQ,2018-11-29,666.4,671.0,674.9,658.8,665.0,661.05,667.03,13399070,8937609219.4,170549,7390099,55.15,2018,11,-0.8028211284513809,Slight negative
384,INFY,EQ,2018-11-30,661.05,661.0,672.0,660.95,670.0,667.45,667.52,10445773,6972740710.3,118396,6667707,63.83,2018,11,0.9681567203691177,Slight positive
385,INFY,EQ,2018-12-03,667.45,673.15,679.0,665.95,672.45,670.35,670.58,8260890,5539597359.0,103845,6137214,74.29,2018,12,0.43448947486701694,Slight or No change
386,INFY,EQ,2018-12-04,670.35,672.55,688.25,671.3,683.0,685.25,682.83,7827923,5345133353.5,129170,4357939,55.67,2018,12,2.222719474901158,Positive
387,INFY,EQ,2018-12-05,685.25,683.0,683.65,672.5,682.05,681.4,678.97,5177288,3515206693.5,96257,3101033,59.9,2018,12,-0.5618387449835893,Slight negative
388,INFY,EQ,2018-12-06,681.4,676.1,685.45,664.55,669.7,668.5,672.12,8039771,5403659737.5,229269,3922722,48.79,2018,12,-1.8931611388318115,Negative
389,INFY,EQ,2018-12-07,668.5,672.0,685.75,665.6,681.0,682.8,679.07,5553948,3771508978.7,125999,3024829,54.46,2018,12,2.139117427075532,Positive
390,INFY,EQ,2018-12-10,682.8,669.9,683.8,665.2,670.3,669.2,671.47,5121196,3438717512.95,119910,3114377,60.81,2018,12,-1.991798476859974,Negative
391,INFY,EQ,2018-12-11,669.2,669.2,681.9,660.6,673.25,674.5,672.27,7120933,4787161579.1,204697,3767399,52.91,2018,12,0.791990436341905,Slight positive
392,INFY,EQ,2018-12-12,674.5,677.1,680.65,670.6,678.1,678.5,675.12,6926183,4675985775.85,92411,3725735,53.79,2018,12,0.5930318754633124,Slight positive
393,INFY,EQ,2018-12-13,678.5,682.0,700.0,680.0,695.35,697.75,690.27,7521474,5191853566.0,187302,4679887,62.22,2018,12,2.8371407516580627,Positive
394,INFY,EQ,2018-12-14,697.75,697.45,713.7,694.4,706.15,706.05,705.93,9560576,6749101214.85,158039,4777005,49.97,2018,12,1.1895378000716494,Positive
395,INFY,EQ,2018-12-17,706.05,711.85,711.85,692.75,692.75,694.4,697.79,4778465,3334376899.1,95026,2319758,48.55,2018,12,-1.6500247857800354,Negative
396,INFY,EQ,2018-12-18,694.4,686.5,686.5,674.55,677.0,676.6,679.65,8021298,5451686819.05,191277,4277069,53.32,2018,12,-2.563364055299533,Negative
397,INFY,EQ,2018-12-19,676.6,671.55,671.55,661.1,664.6,664.85,665.07,8295459,5517046524.6,263253,4781304,57.64,2018,12,-1.7366242979603874,Negative
398,INFY,EQ,2018-12-20,664.85,660.0,671.55,656.4,666.9,667.05,664.34,11705260,7776239037.15,237519,6351199,54.26,2018,12,0.330901707151976,Slight or No change
399,INFY,EQ,2018-12-21,667.05,659.5,659.5,643.45,646.55,646.2,651.1,12802132,8335493758.1,228130,6537301,51.06,2018,12,-3.1257027209354526,Among top losers
400,INFY,EQ,2018-12-24,646.2,657.0,658.8,647.6,648.5,649.0,652.59,8379825,5468562526.0,140084,3230709,38.55,2018,12,0.4333023831631033,Slight or No change
401,INFY,EQ,2018-12-26,649.0,647.0,647.0,637.35,643.9,644.05,641.76,6178552,3965160751.65,129003,3192480,51.67,2018,12,-0.7627118644067843,Slight negative
402,INFY,EQ,2018-12-27,644.05,652.75,663.25,649.0,656.35,656.8,658.16,15333902,10092126950.95,182988,7084546,46.2,2018,12,1.9796599642884827,Positive
403,INFY,EQ,2018-12-28,656.8,663.35,663.5,653.3,656.1,656.95,658.29,4736598,3118076701.95,105527,2225579,46.99,2018,12,0.022838002436076366,Slight or No change
