Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend,lower,avg,upper,Call
2018-06-26,INFY,EQ,1272.45,1269.0,1283.9,1266.25,1280.05,1277.85,1277.24,2241752,2863258907.05,102746,1303651,58.15,2018,6,0.4243781681009029,Slight or No change,1230.6445636741378,1259.0000000000005,1287.3554363258631,Hold Short/Liquidate Buy
2018-06-27,INFY,EQ,1277.85,1283.95,1293.45,1265.6,1271.5,1270.0,1281.92,3476071,4456049392.9,107138,2254625,64.86,2018,6,-0.6143131040419414,Slight negative,1231.595387893746,1260.2535714285718,1288.9117549633977,Hold Short/Liquidate Buy
2018-06-28,INFY,EQ,1270.0,1276.3,1298.0,1276.25,1284.3,1289.6,1290.08,5498409,7093380058.9,159341,2847254,51.78,2018,6,1.5433070866141652,Positive,1229.6981557942097,1262.364285714286,1295.0304156343625,Hold Short/Liquidate Buy
2018-06-29,INFY,EQ,1289.6,1298.05,1315.0,1283.25,1310.65,1307.2,1298.31,4983300,6469891050.0,164216,3050563,61.22,2018,6,1.3647642679900818,Positive,1225.048848417622,1265.5642857142861,1306.0797230109504,Short
2018-07-02,INFY,EQ,1307.2,1314.0,1340.0,1314.0,1337.8,1334.7,1325.09,2415072,3200195813.5,80512,1157363,47.92,2018,7,2.103733170134636,Positive,1216.5165670009264,1271.0071428571432,1325.49771871336,Short
2018-07-03,INFY,EQ,1334.7,1331.9,1357.9,1331.75,1355.5,1353.75,1347.06,4063726,5474101848.85,140810,2374717,58.44,2018,7,1.427287030793423,Positive,1206.4012594050866,1276.646428571429,1346.8915977377712,Short
2018-07-04,INFY,EQ,1353.75,1352.05,1352.65,1338.85,1348.4,1345.2,1345.49,2512861,3381023804.65,156409,1610582,64.09,2018,7,-0.6315789473684164,Slight negative,1208.5793691275796,1284.1821428571434,1359.7849165867071,Hold Short/Liquidate Buy
2018-07-05,INFY,EQ,1345.2,1347.1,1347.25,1268.1,1286.5,1284.0,1290.51,8509951,10982144288.6,274864,4498851,52.87,2018,7,-4.549509366636938,Among top losers,1208.7943268932372,1284.3785714285718,1359.9628159639065,Hold Buy/Liquidate Short
2018-07-06,INFY,EQ,1284.0,1290.25,1301.85,1269.0,1285.15,1284.25,1281.04,5607678,7183683022.0,181138,3185846,56.81,2018,7,0.019470404984422984,Slight or No change,1210.6285304626213,1285.5821428571433,1360.5357552516653,Hold Buy/Liquidate Short
2018-07-09,INFY,EQ,1284.25,1297.0,1303.0,1279.05,1301.2,1298.85,1294.01,3322499,4299340435.35,95341,1941581,58.44,2018,7,1.136850301732517,Positive,1218.925646264037,1289.671428571429,1360.4172108788212,Hold Short/Liquidate Buy
2018-07-10,INFY,EQ,1298.85,1308.5,1315.45,1294.3,1299.1,1301.4,1305.09,2987244,3898613178.15,109336,1551472,51.94,2018,7,0.19632752049891788,Slight or No change,1228.2059449088997,1293.8321428571433,1359.4583408053868,Hold Short/Liquidate Buy
2018-07-11,INFY,EQ,1301.4,1317.55,1342.1,1291.35,1319.0,1320.45,1317.22,5949916,7837362262.05,131426,2520702,42.37,2018,7,1.4638082065467906,Positive,1238.1443530870883,1299.1107142857147,1360.077075484341,Hold Short/Liquidate Buy
